year,month,latitude,upwelling_index,model
1981.0,12.0,37.0,0.056,gfdl
1981.0,12.0,38.0,-0.09,gfdl
1981.0,12.0,39.0,-0.022,gfdl
1981.0,12.0,40.0,0.057,gfdl
1981.0,12.0,41.0,0.1,gfdl
1981.0,12.0,42.0,0.026,gfdl
1981.0,12.0,43.0,0.289,gfdl
1981.0,12.0,44.0,0.119,gfdl
1981.0,12.0,45.0,0.332,gfdl
1981.0,12.0,46.0,0.285,gfdl
1981.0,12.0,47.0,0.022,gfdl
1982.0,1.0,31.0,0.052,gfdl
1982.0,1.0,32.0,0.108,gfdl
1982.0,1.0,33.0,0.278,gfdl
1982.0,1.0,34.0,0.321,gfdl
1982.0,1.0,35.0,0.258,gfdl
1982.0,1.0,36.0,0.245,gfdl
1982.0,1.0,37.0,0.051,gfdl
1982.0,1.0,38.0,0.149,gfdl
1982.0,1.0,39.0,0.33,gfdl
1982.0,1.0,40.0,0.172,gfdl
1982.0,1.0,41.0,0.206,gfdl
1982.0,1.0,42.0,0.033,gfdl
1982.0,1.0,43.0,0.127,gfdl
1982.0,1.0,44.0,-0.16,gfdl
1982.0,1.0,45.0,-0.07,gfdl
1982.0,1.0,46.0,0.014,gfdl
1982.0,1.0,47.0,-0.024,gfdl
1982.0,2.0,31.0,0.136,gfdl
1982.0,2.0,32.0,0.106,gfdl
1982.0,2.0,33.0,0.114,gfdl
1982.0,2.0,34.0,0.06,gfdl
1982.0,2.0,35.0,0.488,gfdl
1982.0,2.0,36.0,0.109,gfdl
1982.0,2.0,37.0,0.121,gfdl
1982.0,2.0,38.0,-0.19,gfdl
1982.0,2.0,39.0,-0.037,gfdl
1982.0,2.0,40.0,-0.432,gfdl
1982.0,2.0,41.0,-0.719,gfdl
1982.0,2.0,42.0,-0.732,gfdl
1982.0,2.0,43.0,-0.656,gfdl
1982.0,2.0,44.0,-0.469,gfdl
1982.0,2.0,45.0,-0.632,gfdl
1982.0,2.0,46.0,-0.347,gfdl
1982.0,2.0,47.0,-0.609,gfdl
1982.0,3.0,31.0,0.303,gfdl
1982.0,3.0,32.0,0.269,gfdl
1982.0,3.0,33.0,0.425,gfdl
1982.0,3.0,34.0,0.7,gfdl
1982.0,3.0,35.0,1.13,gfdl
1982.0,3.0,36.0,0.745,gfdl
1982.0,3.0,37.0,0.785,gfdl
1982.0,3.0,38.0,0.731,gfdl
1982.0,3.0,39.0,0.926,gfdl
1982.0,3.0,40.0,0.768,gfdl
1982.0,3.0,41.0,0.495,gfdl
1982.0,3.0,42.0,0.314,gfdl
1982.0,3.0,43.0,0.206,gfdl
1982.0,3.0,44.0,-0.242,gfdl
1982.0,3.0,45.0,-0.115,gfdl
1982.0,3.0,46.0,-0.061,gfdl
1982.0,3.0,47.0,-0.134,gfdl
1982.0,4.0,31.0,0.749,gfdl
1982.0,4.0,32.0,0.64,gfdl
1982.0,4.0,33.0,0.879,gfdl
1982.0,4.0,34.0,1.127,gfdl
1982.0,4.0,35.0,1.778,gfdl
1982.0,4.0,36.0,1.119,gfdl
